------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
      0   -0.1321753473    0.0000000000    0.0000000000             nan             nan             nan
      1   -0.2861600456    0.1037598078    0.0000000000   -0.0564103078    1.6371276683    5.3592825738
      2   -0.9946951791    0.0466594349   -0.6135687295   -3.1325810834    1.7635328637    1.3383939283
      3   -1.0519843337    0.2104813668   -0.5888248082   -4.1579713419    1.8056679289   -0.0019022868
      4   -1.0539806381    0.2353719517   -0.5346326723   -4.6706664712    1.8267354614   -0.6720503944
      5   -1.0867317637    0.2314251124   -0.5231358841   -4.9782835488    1.8393759810   -1.0741392589
      6   -1.1442394321    0.2320927492   -0.5413463485   -5.1833616005    1.8478029940   -1.3421985020
      7   -1.2127980035    0.2399665725   -0.5735719467   -5.3298459231    1.8538222890   -1.5336693898
      8   -1.2843592016    0.2523920686   -0.6112715122   -5.4397091651    1.8583367603   -1.6772725557
      9   -1.3551823283    0.2672349200   -0.6505190482   -5.5251583533    1.8618480157   -1.7889639070
     10   -1.4237662829    0.2833811574   -0.6896479810   -5.5935177039    1.8646570201   -1.8783169880
     11   -1.4896156129    0.3003351231   -0.7279810286   -5.6494480816    1.8669552964   -1.9514240543
     12   -1.5526358884    0.3178741526   -0.7652405209   -5.6960567297    1.8688705266   -2.0123466095
     13   -1.6128708633    0.3358670103   -0.8012996712   -5.7354948166    1.8704911060   -2.0638964640
     14   -1.6704008434    0.3542003268   -0.8360869422   -5.7692988911    1.8718801741   -2.1080820535
     15   -1.7253094356    0.3727576475   -0.8695533050   -5.7985957556    1.8730840331   -2.1463762310
     16   -1.7776762634    0.3914189184   -0.9016629257   -5.8242305121    1.8741374097   -2.1798836364
     17   -1.8275780035    0.4100653747   -0.9323915040   -5.8468494148    1.8750668597   -2.2094489941
     18   -1.8750909653    0.4285858643   -0.9617262981   -5.8669551062    1.8758930374   -2.2357293120
     19   -1.9202932347    0.4468799480   -0.9896660548   -5.8849444089    1.8766322491   -2.2592432807
     20   -1.9632659052    0.4648604895   -1.0162205804   -5.9011347814    1.8772975396   -2.2804058526
     21   -2.0040934569    0.4824546645   -1.0414097367   -5.9157832137    1.8778994691   -2.2995529413
     22   -2.0428633959    0.4996034664   -1.0652620679   -5.9290999703    1.8784466778   -2.3169593857
     23   -2.0796657364    0.5162611679   -1.0878135009   -5.9412587481    1.8789463030   -2.3328522262
     24   -2.1145921152    0.5323940725   -1.1091058546   -5.9524042944    1.8794042929   -2.3474206633
     25   -2.1477349009    0.5479790931   -1.1291855424   -5.9626581970    1.8798256435   -2.3608236255
     26   -2.1791861875    0.5630024070   -1.1481020916   -5.9721233378    1.8802145826   -2.3731955905
     27   -2.2090371701    0.5774579211   -1.1659073185   -5.9808873571    1.8805747114   -2.3846511137
     28   -2.2373771979    0.5913460335   -1.1826541006   -5.9890253750    1.8809091166   -2.3952883853
     29   -2.2642932668    0.6046723798   -1.1983956611   -5.9966021503    1.8812204595   -2.4051920519
     30   -2.2898694963    0.6174467661   -1.2131848445   -6.0036738073    1.8815110461   -2.4144354741
     31   -2.3141867510    0.6296822199   -1.2270736029   -6.0102892283    1.8817828853   -2.4230825464
     32   -2.3373223634    0.6413941843   -1.2401125259   -6.0164911855    1.8820377344   -2.4311891768
     33   -2.3593499673    0.6525998382   -1.2523505505   -6.0223172665    1.8822771382   -2.4388044962
     34   -2.3803393821    0.6633175312   -1.2638347012   -6.0278006369    1.8825024594   -2.4459718556
     35   -2.4003565938    0.6735663145   -1.2746099419   -6.0329706718    1.8827149051   -2.4527296516
     36   -2.4194637922    0.6833655618   -1.2847190838   -6.0378534826    1.8829155483   -2.4591120146
     37   -2.4377194376    0.6927346674   -1.2942027411   -6.0424723576    1.8831053459   -2.4651493849
     38   -2.4551783565    0.7016928349   -1.3030993118   -6.0468481340    1.8832851541   -2.4708689989
     39   -2.4718918961    0.7102588705   -1.3114450253   -6.0509995115    1.8834557414   -2.4762952994
     40   -2.4879080653    0.7184510604   -1.3192739813   -6.0549433202    1.8836177994   -2.4814502848
     41   -2.5032716935    0.7262870950   -1.3266182301   -6.0586947480    1.8837719521   -2.4863538076
     42   -2.5180246113    0.7337839697   -1.3335078417   -6.0622675364    1.8839187641   -2.4910238292
     43   -2.5322058206    0.7409579855   -1.3399709997   -6.0656741485    1.8840587477   -2.4954766406
     44   -2.5458516603    0.7478246624   -1.3460341232   -6.0689259147    1.8841923685   -2.4997270514
